INFO:root:World initiialized
INFO:root:Populating world with 100 particles
INFO:root:World populated
INFO:root:Running simulation for 1000 ticks
DEBUG:root:Merging to 2nd particle. 1st mass 9, 2nd mass 71, j: 87, c: 30
DEBUG:root:Merging to 2nd particle. 1st mass 41, 2nd mass 48, j: 29, c: 56
DEBUG:root:Merging to 2nd particle. 1st mass 46, 2nd mass 88, j: 86, c: 66
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 71, j: 93, c: 96
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 82, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 93, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 104, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 115, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 126, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 137, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 148, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 159, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 170, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 181, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 192, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 203, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 214, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 225, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 236, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 247, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 258, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 269, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 280, j: 93, c: 98
DEBUG:root:Merging to 2nd particle. 1st mass 11, 2nd mass 291, j: 93, c: 98
